track_id,artists,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,release_year,release_decade,market_region,playlist_category,artist_tier,streaming_platform,release_year_raw,release_year_clean,clean_decade
2SkJKMfjpYsNv0KWOxiegX,A Great Big World,62.0,229320.0,False,0.709,0.913,7,-5.148,1,0.0748,0.0182,0.0,0.167,0.519,108.024,4,acoustic,late 90s,2020s,Europe,Top Charts,Established,YouTube Music,late 90s,,
3NqKDdehfEZ00H4uFghoMr,Hanare Gumi,29.0,229533.0,False,0.373,0.716,5,-7.358,1,0.0313,0.082,0.000239,0.105,0.374,134.764,4,acoustic,2019,2010s,Latin America,Top Charts,Emerging,YouTube Music,2019,2019.0,2010s
0Stf1ND7zaL3TEo8kZgld1,Son&Dad;Filip Nordin,51.0,136470.0,False,0.392,0.253,8,-6.563,0,0.0354,0.746,0.0,0.321,0.368,203.571,4,acoustic,2001,2000s,Latin America,Focus,Established,Apple Music,2001,2001.0,2000s
25R9Ax7cdjWx0EDr2HAKoA,AJJ,27.0,220832.0,False,0.554,0.655,11,-8.074,1,0.0388,0.00193,0.56,0.28,0.363,,4,acoustic,1999,1990s,,,Emerging,YouTube Music,1999,1999.0,1990s
4uPvXmXGjYOOqhbRMmS9XU,Grace Petrie,26.0,270920.0,False,0.446,0.787,11,-7.334,1,0.0714,0.0328,0.0,0.141,0.586,125.642,4,acoustic,1999,1990s,North America,Focus,Emerging,Spotify,1999,1999.0,1990s
4yRlTvPVfEyhXfp6GZurq9,Austin Plaine,57.0,196240.0,False,0.594,0.695,8,-8.872,1,0.0259,0.19,3.58e-06,0.119,0.172,104.977,4,acoustic,2004,2000s,Latin America,Party,Established,Spotify,2004,2004.0,2000s
3D1PuFi2U8lmtdWRZcCz1f,AJJ,58.0,157600.0,False,0.507,0.399,9,-10.917,0,0.0358,0.871,0.000377,0.113,0.225,115.588,4,acoustic,2011,2010s,Middle East & Africa,Workout,Established,YouTube Music,2011,2011.0,2010s
5lZVXDJI3PnnYxBNwNXQgH,Lusaint,54.0,172633.0,False,0.591,0.269,0,-8.554,1,0.0301,0.911,0.0,0.0945,0.246,124.441,4,acoustic,2009,2000s,Asia Pacific,Discover,Established,Tidal,2009,2009.0,2000s
3JKLrIrHpbHtDU1oeYtbYD,Boyce Avenue,52.0,246979.0,False,0.659,0.331,10,-8.987,1,0.0321,0.809,0.0,0.0996,0.0877,105.01,4,acoustic,2004,2000s,Europe,Top Charts,Established,Spotify,2004,2004.0,2000s
2saK0E712wIB3Gf8QLuFYX,Get Dead,29.0,136815.0,True,0.461,0.893,9,-6.028,1,0.121,0.00323,0.0,0.654,0.4,179.92,4,acoustic,2013,2010s,Asia Pacific,Party,Emerging,Apple Music,2013,2013.0,2010s
6ql0ffq6Jvyh9OKqrJCMaP,Amy Stroup,46.0,263823.0,False,0.434,0.469,0,-7.849,0,0.0265,0.52,0.000328,0.108,0.0568,136.282,4,acoustic,1995,1990s,Europe,Sleep & Relax,Rising,Amazon Music,1995,1995.0,1990s
5ZpSUdy5wL5Hvwsqz6JCAt,Stephen Speaks,65.0,274245.0,False,0.515,0.769,7,-5.696,1,0.031,0.0456,0.00436,0.0961,0.644,153.046,4,acoustic,2004,2000s,Europe,Sleep & Relax,Established,Amazon Music,2004,2004.0,2000s
2GzvzxXnyJ9l3obE4JskC2,Ysabelle Cuevas,54.0,189673.0,False,0.449,0.209,10,-14.494,1,0.0896,0.896,0.0,0.156,0.431,93.618,4,acoustic,2006,2000s,Europe,Focus,Established,Spotify,2006,2006.0,2000s
4x7AdVDV9IFWp8pg4LMz90,Jonah Baker,37.0,212864.0,False,0.593,0.292,11,-12.755,1,0.0364,0.828,0.0,0.174,0.375,111.121,4,acoustic,2010,2010s,Europe,Mood,Rising,Apple Music,2010,2010.0,2010s
34p2uL1CvmaHn3uLfOKt8d,Us The Duo,51.0,224847.0,False,0.466,0.161,7,-14.498,1,0.0492,0.979,0.000238,0.231,0.171,139.167,3,acoustic,2017,2010s,Latin America,Top Charts,Established,Spotify,2017,2017.0,2010s
4kQXMVjoZ9yMibLZq5Aqi5,Callum J Wright,50.0,138495.0,False,0.794,0.38,10,-8.769,0,0.0477,0.762,0.0,0.262,0.617,114.99,4,acoustic,2000,2000s,Europe,Top Charts,Established,YouTube Music,2000,2000.0,2000s
4xN6o0Y195FTgzQvmnuMNw,Gail Blanco,25.0,226320.0,True,0.391,0.322,2,-10.845,1,0.0322,0.88,0.0,0.118,0.278,180.048,4,acoustic,2011,2010s,Europe,Mood,Emerging,Spotify,2011,2011.0,2010s
0P2HFqXUhqvdZ2bS8doDjR,Matt Johnson,53.0,141142.0,False,0.807,0.403,2,-8.759,0,0.0316,0.901,0.0,0.12,0.95,105.037,4,acoustic,2013,2010s,North America,Sleep & Relax,Established,YouTube Music,2013,2013.0,2010s
5rBVF19fMatEF6AstKKIR7,Marc Broussard;J.J. Grey,,159666.0,False,,0.785,4,,1,0.0292,0.0882,8.32e-05,0.104,0.878,,4,acoustic,,1970s,,,,Amazon Music,,,
3XFhSbm8EdZD6Cjrm1dNJQ,Frank Turner,33.0,223015.0,False,0.564,0.604,7,-5.055,1,0.0549,0.0287,4.74e-06,0.108,0.341,113.091,4,acoustic,2013,2010s,Latin America,Discover,Rising,Tidal,2013,2013.0,2010s
6twvFrIoIINH8UW8EB8OnU,Jason Mraz,,198855.0,False,,0.836,1,,1,0.0327,0.301,3.23e-05,0.29,0.727,,4,acoustic,,1990s,,,,Amazon Music,,,
0UgmLwOrTeOCUNwV07a5AD,Sara Bareilles,51.0,298280.0,False,0.366,0.482,5,-7.9,1,0.0278,0.288,0.00655,0.117,0.278,169.677,4,acoustic,1984,1980s,North America,Top Charts,Established,Spotify,1984,1984.0,1980s
78Vs1Oo42MrcbwB8vQhhsz,Get Dead,,129472.0,False,,0.696,9,,1,0.0739,0.14,0.0,0.0973,0.662,,4,acoustic,,2020s,,,,Spotify,,,
1wSZdWFZphxDh6iJhWlIUi,Ben Woodward,38.0,211672.0,False,0.672,0.644,11,-9.063,1,0.236,0.795,0.0,0.146,0.549,148.135,4,acoustic,2022,2020s,Latin America,Discover,Rising,Apple Music,2022,2022.0,2020s
0wP19iM8ULJyV0r0LFDsDv,Taj Mahal,,251426.0,False,,0.406,7,,1,0.0761,0.568,0.0,0.484,0.862,,4,acoustic,,2010s,,,,Apple Music,,,
0P0v83waDX4ElzSgmF1cG5,KT Tunstall,29.0,214560.0,False,0.427,0.695,2,-5.378,1,0.0343,0.487,0.0,0.0836,0.368,160.142,4,acoustic,2005,2000s,Europe,Top Charts,Emerging,Spotify,2005,2005.0,2000s
4BguxPKygliNCIkzwWlYxU,Masaharu Fukuyama,31.0,245800.0,False,0.725,0.746,9,-8.214,1,0.0338,0.00721,0.0,0.0575,0.656,102.87,4,acoustic,1991,1990s,Asia Pacific,Sleep & Relax,Rising,Spotify,1991,1991.0,1990s
5Pk2JQFKZyFnA9e7BAQQQm,Jonah Baker,51.0,188181.0,False,0.558,0.209,8,-8.934,1,0.0515,0.852,0.0,0.111,0.41,174.887,3,acoustic,2015,2010s,Asia Pacific,Sleep & Relax,Established,Amazon Music,2015,2015.0,2010s
2gRKq9rIC5i1zuxp06zJWH,Chord Overstreet,,178600.0,True,,0.507,0,,1,0.046,0.572,0.0,0.0912,0.265,,4,acoustic,,2000s,,,,Amazon Music,,,
7vu53hQrIoH7UGeh6qcct1,Zack Tabudlo,60.0,183969.0,False,0.715,0.438,10,-6.147,0,0.0373,0.353,1.75e-06,0.108,0.447,81.07,4,acoustic,1994,1990s,Latin America,Workout,Established,Spotify,1994,1994.0,1990s
0WOFJR54wyTwLB11jcBDb1,The Civil Wars,0.0,154440.0,False,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,acoustic,2011,2010s,Europe,Discover,Emerging,Spotify,2011,2011.0,2010s
0Pi3Ua6fJV1Yx5MGXhfybT,Ben Woodward,40.0,209554.0,False,0.733,0.297,5,-14.452,1,0.0359,0.935,2.75e-06,0.108,0.766,103.953,4,acoustic,1972,1970s,Middle East & Africa,Discover,Rising,Apple Music,1972,1972.0,1970s
08HbvgCt7APoTp6Vmk7ho1,Hanare Gumi,25.0,372600.0,False,0.542,0.0325,11,-18.346,1,0.0452,0.964,0.000855,0.105,0.288,131.935,4,acoustic,2021,2020s,North America,Party,Emerging,Amazon Music,2021,2021.0,2020s
4M4suTUnAYZocl09XEKBZN,Ray LaMontagne,36.0,216773.0,False,0.555,0.68,10,-8.358,0,0.0323,0.126,0.000906,0.0506,0.903,84.518,4,acoustic,2002,2000s,North America,Party,Rising,Apple Music,2002,2002.0,2000s
08feveJTNL1OMLSrdoHQ6Q,The Rescues,46.0,219093.0,False,0.642,0.408,10,-8.168,1,0.0396,0.729,0.0,0.185,0.411,119.81,4,acoustic,2015,2010s,Europe,Workout,Rising,Tidal,2015,2015.0,2010s
2V2mEnBBn4HsDRNxuVJvwP,Mone Kamishiraishi,26.0,300626.0,False,0.755,0.918,8,-3.558,1,0.0397,0.356,2.23e-06,0.319,0.634,111.017,4,acoustic,2004,2000s,North America,Workout,Emerging,YouTube Music,2004,2004.0,2000s
5KOn9dVdz24YDPjt8bfpjt,Eden Elf;Ren Avel,49.0,125677.0,False,0.638,0.329,3,-13.683,1,0.0422,0.979,0.0597,0.338,0.475,94.125,4,acoustic,2011,2010s,Middle East & Africa,Party,Rising,Tidal,2011,2011.0,2010s
5OWl1kO0gRlPxmp1wFyIWZ,Eddie Vedder,48.0,162309.0,False,0.292,0.339,7,-13.153,1,0.032,0.923,0.879,0.111,0.343,100.69,4,acoustic,2012,2010s,Latin America,Party,Rising,YouTube Music,2012,2012.0,2010s
395XDt5vt8DKguJDjGtYLU,Jason Mraz,48.0,235080.0,False,0.65,0.628,7,-7.16,1,0.0232,0.0483,0.0,0.119,0.7,84.141,4,acoustic,1999,1990s,Europe,Party,Rising,Amazon Music,1999,1999.0,1990s
2ZaYFNn1YQuLSVdHhanr4Q,Joshua Radin,56.0,149013.0,False,0.545,0.255,8,-14.844,1,0.0311,0.362,1.77e-05,0.0841,0.831,98.088,4,acoustic,2023,2020s,Latin America,Party,Established,YouTube Music,2023,2023.0,2020s
7xVLM4xNhJo57V5RoinJji,Joseph Sullinger,49.0,138748.0,False,0.516,0.144,2,-18.858,1,0.051,0.992,0.952,0.115,0.433,134.688,4,acoustic,2017,2010s,Europe,Top Charts,Rising,Spotify,2017,2017.0,2010s
4Bo6FwC7Oe9zywSZc6q7hO,Jason Mraz,59.0,257173.0,False,0.582,0.347,7,-14.769,1,0.0305,0.317,0.00678,0.111,0.0797,97.957,4,acoustic,circa 2010,2020s,North America,Top Charts,Established,Spotify,circa 2010,,
2lvcDndxZGuowLA19g4YDv,Gabrielle Aplin,23.0,208400.0,False,0.38,0.468,1,-4.245,1,0.0318,0.243,0.0,0.0973,0.303,143.504,4,acoustic,2020,2020s,Latin America,Discover,Emerging,Amazon Music,2020,2020.0,2020s
0BUuuEvNa5T4lMaewyiudB,Jason Mraz,0.0,216386.0,False,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4,acoustic,2013,2010s,Latin America,Focus,Emerging,Spotify,2013,2013.0,2010s
3EQV1ZHtHvq9OnVRYIdbg3,Jason Mraz,0.0,131760.0,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,2021,2020s,Europe,Discover,Emerging,Apple Music,2021,2021.0,2020s
203WkDdprjHpN37QMBCMyJ,Masaharu Fukuyama,30.0,347200.0,False,0.548,0.889,0,-6.106,1,0.0309,0.0324,0.0,0.359,0.789,95.289,4,acoustic,pre-2000,1990s,Latin America,Workout,Rising,YouTube Music,pre-2000,,
4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,74.0,244800.0,False,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,4,acoustic,2000,2000s,North America,Mood,Superstar,YouTube Music,2000,2000.0,2000s
2h3VsZVKQeT0yLNQtCIRjn,Jonah Baker,44.0,188494.0,False,0.543,0.138,0,-14.331,1,0.0531,0.791,0.0,0.185,0.3,115.65,4,acoustic,1977,1970s,North America,Focus,Rising,Spotify,1977,1977.0,1970s
2fboUv3gU9L4njbhBdigid,John Adams,48.0,202928.0,False,0.545,0.169,6,-10.145,1,0.0457,0.953,0.0,0.152,0.291,138.199,4,acoustic,2005,2000s,North America,Mood,Rising,Apple Music,2005,2005.0,2000s
6J0bdIZElZMymahgVWRE9B,Eddie Vedder,58.0,94053.0,False,0.724,0.652,3,-6.869,1,0.0247,0.46,0.000142,0.101,0.75,106.911,4,acoustic,2007,2000s,Europe,Mood,Established,Apple Music,2007,2007.0,2000s
2sYFi9xVSZ56WHKSY2fN1K,Adam Christopher,52.0,171543.0,False,0.576,0.331,6,-9.389,0,0.0306,0.894,3.44e-05,0.129,0.407,149.02,4,acoustic,2003,2000s,Asia Pacific,Sleep & Relax,Established,Spotify,2003,2003.0,2000s
6B9EuDkJUAm9bO26ZdzBke,Takehara Pistol,30.0,178573.0,False,0.457,0.26,7,-7.952,1,0.0406,0.0594,0.0,0.346,0.38,106.756,4,acoustic,2018,2010s,Asia Pacific,Workout,Rising,Amazon Music,2018,2018.0,2010s
4cR4nao0hqqBtklQmGVqbe,Boyce Avenue,56.0,278640.0,False,0.702,0.326,1,-6.638,1,0.0272,0.705,0.0,0.168,0.628,79.904,4,acoustic,2006,2000s,Europe,Top Charts,Established,YouTube Music,2006,2006.0,2000s
5mFrdpvoxokKCWp9uHE1ok,LÃºc,52.0,199114.0,False,0.674,0.116,9,-13.448,1,0.0375,0.862,0.0,0.0979,0.21,129.976,4,acoustic,2003,2000s,Latin America,Focus,Established,Tidal,2003,2003.0,2000s
5CU7ewecONNlWAJHu04HJQ,The Bridge City Sinners,28.0,204926.0,False,0.544,0.911,9,-2.73,1,0.204,0.661,0.0,0.344,0.851,114.776,4,acoustic,pre-2000,2010s,Latin America,Discover,Emerging,Spotify,pre-2000,,
6r8OnTtDrhKBIIYgzxrnZ1,Colin & Caroline,55.0,194129.0,False,0.46,0.319,1,-8.621,1,0.0356,0.861,0.0,0.118,0.329,145.765,4,acoustic,1995,1990s,North America,Workout,Established,Spotify,1995,1995.0,1990s
5JYT9U8oafWV5JtTa7hG09,Caj Morgan,46.0,118878.0,False,0.768,0.331,6,-6.687,1,0.0292,0.576,0.0,0.216,0.663,107.044,4,acoustic,2018,2010s,North America,Party,Rising,YouTube Music,2018,2018.0,2010s
16dkWKIlBsfYTISCVuDs0w,Ron Pope,55.0,219480.0,False,0.484,0.573,5,-6.183,1,0.0298,0.0882,1.14e-06,0.15,0.346,139.966,3,acoustic,1988,1980s,Middle East & Africa,Workout,Established,Apple Music,1988,1988.0,1980s
2vOFdBs2kss9U0ezRGTG2E,Days N Daze,30.0,175046.0,True,0.5,0.611,0,-10.826,1,0.0788,0.834,1.41e-05,0.241,0.894,88.372,4,acoustic,2023,2020s,Latin America,Mood,Rising,Spotify,2023,2023.0,2020s
0VhZ5JYfqPojSYeGWnk4dL,John Adams,55.0,204973.0,False,0.479,0.154,2,-11.282,1,0.0352,0.915,0.0,0.0974,0.36,147.207,4,acoustic,2017,2010s,Middle East & Africa,Top Charts,Established,Tidal,2017,2017.0,2010s
7EcFRiCKqijYsuA5UbNnQZ,Frank Turner,30.0,146129.0,True,0.474,0.876,7,-5.052,1,0.0341,0.00277,6.15e-06,0.39,0.607,91.948,4,acoustic,2000,2000s,Europe,Party,Rising,Amazon Music,2000,2000.0,2000s
07CUaE9XAgDQ0B2T4XGrnN,The Weepies;Deb Talan;Steve Ta,55.0,137880.0,False,0.691,0.552,5,-9.114,1,0.0264,0.497,0.000589,0.197,0.685,119.931,4,acoustic,1962,1960s,Latin America,Workout,Established,Apple Music,1962,1962.0,1960s
7IdC5YvSg9O1WfRSUtSpNt,Sonny Boy Williamson II,30.0,153653.0,False,0.699,0.761,7,-7.264,1,0.103,0.806,0.00115,0.588,0.706,115.048,4,acoustic,2018,2010s,North America,Workout,Rising,Apple Music,2018,2018.0,2010s
1YjMWOorkBaP4MdKkKtp4y,The Weepies;Deb Talan;Steve Ta,56.0,199786.0,False,0.678,0.363,11,-10.9,1,0.0318,0.872,0.000101,0.0798,0.543,75.004,5,acoustic,2016,2010s,North America,Top Charts,Established,Spotify,2016,2016.0,2010s
0x26yM2rrvtoHGRXXzppx3,Takehara Pistol,34.0,331984.0,False,0.45,0.183,2,-9.003,1,0.0309,0.762,3.41e-06,0.11,0.219,61.192,4,acoustic,2016,2010s,Europe,Mood,Rising,Tidal,2016,2016.0,2010s
2R1ACTXu88oxUcplmde6kT,Aron Wright,47.0,191765.0,False,0.396,0.293,1,-10.739,0,0.0367,0.732,0.116,0.102,0.199,145.556,3,acoustic,2017,2010s,,Discover,Rising,YouTube Music,2017,2017.0,2010s
0adVktNVJXPZfhQe6B1NO5,KT Tunstall,0.0,257493.0,False,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4,acoustic,1987,1980s,North America,Party,Emerging,Spotify,1987,1987.0,1980s
44odJaONNr861TeNUYSx3L,Maris Racal,28.0,244528.0,False,0.71,0.402,0,-9.91,1,0.0274,0.873,0.232,0.103,0.136,106.024,4,acoustic,2006,2000s,North America,Mood,Emerging,Spotify,2006,2006.0,2000s
0dnRlO7IDzbN9ixVld7hz6,The Perishers,51.0,189240.0,False,0.543,0.288,0,-8.608,0,0.0258,0.667,0.0,0.113,0.293,95.435,4,acoustic,1993,1990s,North America,Top Charts,Established,YouTube Music,1993,1993.0,1990s
0qAMjeQFyd1qD0LDiV8gWp,KT Tunstall,,172373.0,False,,0.786,4,,0,0.0641,0.328,0.0,0.34,0.917,,4,acoustic,,2010s,,,,Spotify,,,
6VwAh8Z1d5YKoSWoEaV4db,Aaron Espe,65.0,159600.0,False,0.787,0.355,0,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,99.978,4,acoustic,2014,2010s,Europe,Discover,Established,Amazon Music,2014,2014.0,2010s
5mdjfBsyzl78NQI4sI4IzR,Aidan Hawken,48.0,201440.0,False,0.374,0.183,9,-13.225,1,0.0281,0.897,0.0387,0.109,0.134,82.042,4,acoustic,2005,2000s,North America,Focus,Rising,Tidal,2005,2005.0,2000s
2D4BSm5Z8Hq5zYbSgJwEOh,Sara Bareilles,67.0,250266.0,False,0.397,0.303,5,-7.508,1,0.0435,0.381,0.0,0.101,0.172,81.05,4,acoustic,1984,1980s,North America,Focus,Established,Amazon Music,1984,1984.0,1980s
2AHZHeLTPuGILKyr4l8uTU,Joe Brooks,53.0,206693.0,False,0.464,0.653,6,-7.514,1,0.101,0.199,0.0,0.0979,0.416,162.196,4,acoustic,2004,2000s,North America,Sleep & Relax,Established,YouTube Music,2004,2004.0,2000s
6pRaRbJVkHyQdlW3MGvkgT,Pigeon Pit,30.0,252760.0,True,0.501,0.44,6,-8.167,1,0.0352,0.818,0.0,0.104,0.311,89.881,4,acoustic,2005,2000s,Latin America,Focus,Rising,Apple Music,2005,2005.0,2000s
3zVMv0mxjnJRw2BX5ryCqT,Chuck Ragan,26.0,217293.0,False,0.303,0.506,9,-6.89,1,0.0325,0.496,0.0,0.178,0.412,161.463,3,acoustic,2016,2010s,North America,Top Charts,Emerging,Spotify,2016,2016.0,2010s
5QRt4QovcONoIVzwnlkU7z,Kaiak,49.0,201861.0,False,0.637,0.46,3,-9.07,1,0.0384,0.855,4.8e-05,0.114,0.345,93.955,4,acoustic,2014,2010s,Latin America,Top Charts,Rising,YouTube Music,2014,2014.0,2010s
1QmgrcZquzAfW1OMALh1yb,Lafayette Afro Rock Band,,301617.0,False,0.705,0.83,2,,1,0.0946,0.0659,0.00445,0.078,0.602,,4,afrobeat,,2020s,,,Emerging,Spotify,,,
188TDPhgzmi4Aul27nWlEf,The Bamboos,18.0,230960.0,False,0.569,0.949,0,-4.694,1,0.0502,0.0224,0.862,0.0701,0.968,131.921,4,afrobeat,2010,2010s,North America,Party,Emerging,Apple Music,2010,2010.0,2010s
3ZucFCxCGG9Jv1xuPJQF6t,BaianaSystem;Ã€TTÃ˜Ã˜XXÃ,19.0,182773.0,False,0.748,0.626,4,-6.909,0,0.212,0.0135,4.66e-05,0.0385,0.44,149.933,4,afrobeat,1993,1990s,Asia Pacific,Sleep & Relax,Emerging,Spotify,1993,1993.0,1990s
3NyYDbTIBwCTiW0svrcVjy,Eddie Neblett,18.0,207674.0,False,0.496,0.594,5,-7.131,0,0.294,0.437,0.0,0.244,0.73,172.031,4,afrobeat,2016,2010s,Latin America,Party,Emerging,Spotify,2016,2016.0,2010s
1TuWr81XEnKF2oyKxeYHWf,Calle 13,,305440.0,False,,0.783,7,,1,0.154,0.0692,0.00323,0.563,0.767,,4,afrobeat,,2010s,,,,Spotify,,,
0CbNE0yI2EZv9uIwXnP4p5,Jorge Drexler,18.0,353946.0,False,0.794,0.4,2,-9.849,1,0.034,0.855,0.55,0.141,0.437,108.622,3,afrobeat,2012,2010s,Asia Pacific,Focus,Emerging,YouTube Music,2012,2012.0,2010s
2iwuZ15yjlWFvd4pEyiWAr,Jungle Fire;Felipe Gordon,18.0,271761.0,False,0.748,0.816,0,-9.181,1,0.0342,0.0265,0.9,0.283,0.715,120.996,4,afrobeat,2017,2010s,Europe,Discover,Emerging,Apple Music,2017,2017.0,2010s
3NGkNPtXtTXV5VqiLpGgLd,BaianaSystem;Bule Bule;Rapadur,21.0,198466.0,False,0.793,0.913,7,-3.816,0,0.116,0.324,3.25e-06,0.092,0.533,108.013,4,afrobeat,2011,2010s,Asia Pacific,Focus,Emerging,Spotify,2011,2011.0,2010s
5gXeGIJCGNycRlkoBIpBeJ,J Prince,,184800.0,False,,0.778,6,,1,0.0807,0.198,0.0,0.101,0.613,,4,afrobeat,,2010s,,,,Apple Music,,,
6w1T511GDmnHWF1EqqZm2y,Hugh Masekela,0.0,274933.0,False,0.469,0.824,8,-10.785,1,0.0944,0.478,0.268,0.076,0.781,220.081,4,afrobeat,2009,2000s,Latin America,Party,Emerging,Spotify,2009,2009.0,2000s
6CtD4OlyP18mLPEhBotviY,Jaron Nurse,17.0,144065.0,False,0.908,0.631,4,-9.078,0,0.0543,0.128,0.000897,0.165,0.819,110.048,4,afrobeat,1969,1960s,Middle East & Africa,Mood,Emerging,Amazon Music,1969,1969.0,1960s
5vilhku7KUCbRlog1d0lBy,Mandrill,34.0,199360.0,False,0.422,0.862,7,-6.534,0,0.153,0.602,0.00904,0.294,0.826,80.526,3,afrobeat,1992,1990s,North America,Discover,Rising,Apple Music,1992,1992.0,1990s
4DSM0sLjFLTBI9Vm5eyaLC,JuanafÃ©;La Flor del Recuerdo,19.0,172157.0,False,0.659,0.53,4,-10.444,1,0.0347,0.743,2.09e-06,0.189,0.726,126.031,3,afrobeat,1971,1970s,Latin America,Workout,Emerging,Spotify,1971,1971.0,1970s
1gmB9ZIb7nv6eNtzt6UTAC,Gilles Peterson's Havana Cultu,,206040.0,False,0.77,0.799,5,,1,0.168,0.0628,0.0,0.0733,0.689,,4,afrobeat,,2010s,,,Emerging,Spotify,,,
5yr3x2a1Qoz3cECLhuAbqa,Plastilina Mosh,18.0,217333.0,True,0.627,0.856,0,-8.674,0,0.0326,0.0203,0.911,0.872,0.777,96.963,4,afrobeat,2004,2000s,North America,Top Charts,Emerging,Tidal,2004,2004.0,2000s
5f7TqGqkS9heMOgduBRaKl,Los Amigos Invisibles,19.0,206400.0,False,0.778,0.739,10,-5.56,1,0.0628,0.294,0.000187,0.218,0.923,107.967,4,afrobeat,2011,2010s,North America,Sleep & Relax,Emerging,Spotify,2011,2011.0,2010s
7F9iD9cZBEQMZgeD9EuO4Z,JuanafÃ©,25.0,174102.0,False,0.715,0.897,2,-4.822,0,0.0635,0.432,0.0,0.15,0.839,96.891,3,afrobeat,2021,2020s,North America,Discover,Emerging,Spotify,2021,2021.0,2020s
1HFNvYXrTjnYzk1M4SqRc7,Plastilina Mosh,17.0,141333.0,False,0.364,0.977,9,-4.196,1,0.0649,0.000498,0.896,0.12,0.293,147.087,4,afrobeat,2002,2000s,Latin America,Party,Emerging,Apple Music,2002,2002.0,2000s
2N8b6fVhlEfI5jObBLQF8k,Nomade Orquestra,,358947.0,False,,0.67,7,,0,0.0446,0.504,0.824,0.081,0.314,,4,afrobeat,,2000s,,,,Spotify,,,
